class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&dev_priv->binding_mutex:,0,0,0,0,0,0,3953,13443,0.12,52.84,25945.45,1.93
&____s->seqcount#5:,0,0,0,0,0,0,0,114921,0.07,111.84,11088.62,0.1
&fman->goal_irq_mutex:,0,0,0,0,0,0,750,3797,0.34,62.67,20608.3,5.43
&x->wait#2:,0,0,0,0,0,0,4220,25984,0.11,22.67,5512.89,0.21
&dev_priv->fence_queue:,0,0,0,0,0,0,0,1386,0.16,1.43,721.09,0.52
&desc->wait_for_threads:,0,0,0,0,0,0,0,1386,0.12,13.44,423.1,0.31
(work_completion)(&fman->work):,0,0,0,0,0,0,0,1267,0.57,54.28,7127.43,5.63
&man->idle_queue:,0,0,0,0,0,0,2947,10539,0.16,82.36,3935.49,0.37
&x->wait#2:,0,0,0,0,0,0,2719,4079,0.21,43.03,28184.86,6.91
vmci_dev_spinlock:,0,0,0,0,0,0,7,15,19.86,885.4,2949.55,196.64
&dev->event_lock#2:,0,0,0,0,0,0,0,10204,0.11,91.54,37349.48,3.66
dup_mmap_sem-R:,0,0,0,0,0,0,0,2811,116.72,604.91,510978.35,181.78
(wq_completion)events_freezable:,0,0,0,0,0,0,0,96,4.82,8.54,575.4,5.99
(work_completion)(&(&balloon.dwork)->:,0,0,0,0,0,0,0,96,4.11,7.1,499.33,5.2
&balloon.conf_sem-R:,0,0,0,0,0,0,0,96,2.2,4.19,287.98,3
(&dom->period_timer):,0,0,0,0,0,0,0,32,3.5,5.92,143.89,4.5
&p->sequence-W:,0,0,0,0,0,0,0,32,0.48,1.07,21.67,0.68
&p->sequence-R:,0,0,0,0,0,0,0,25,0.18,0.89,9.74,0.39
&(&balloon.dwork)->timer:,0,0,0,0,0,0,0,96,5.16,22.86,807.16,8.41
&ei->xattr_sem-W:,0,0,0,0,0,0,0,5,1.02,1.8,7.41,1.48
&ei->xattr_sem-R:,0,0,0,0,0,0,2898,4714,0.18,15.69,2720.22,0.58
&(&ev->dwork)->timer:,0,0,0,0,0,0,0,47,6.59,30.13,772.7,16.44
&undo_list->lock:,0,0,0,0,0,0,1,1,0.7,0.7,0.7,0.7
(work_completion)(&({ do { const void:,0,0,0,0,0,0,0,2,1.08,3.92,5,2.5
&meta_group_info[i]->alloc_sem-R:,0,0,0,0,0,0,991,1532,0.28,66.6,1133.4,0.74
&(ei->i_block_reservation_lock):,0,0,0,0,0,0,756,53803,0.17,36.63,13246.3,0.25
&sb->s_type->i_mutex_key#1/4:,0,0,0,0,0,0,30,53,0.3,238.27,4430.31,83.59
eventfd_ida.xa_lock:,0,0,0,0,0,0,1,5,0.14,1.47,3.04,0.61
&ctx->wqh#2:,0,0,0,0,0,0,1307,42384,0.09,38.01,10325.16,0.24
sk_lock-AF_INET:,0,0,0,0,0,0,0,21,0.45,27.02,81.83,3.9
&____s->seqcount#7-R:,0,0,0,0,0,0,0,5,0.1,0.31,0.8,0.16
