class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
proc_inum_ida.xa_lock:,0,0,0,0,0,0,7,517,0.18,12.34,238.58,0.46
mount_lock.seqcount-W:,0,0,0,0,0,0,0,9,0.25,0.95,3.64,0.4
mount_lock.seqcount-R:,0,0,0,0,0,0,0,14921,0.06,36.28,1508.84,0.1
resource_lock-R:,0,0,0,0,0,0,16,3559,0.15,12.05,695.84,0.2
mnt_id_ida.xa_lock:,0,0,0,0,0,0,6,9,1.03,1.4,10.95,1.22
shrinker_rwsem:,0,0,0,0,0,0,6,18,0.39,19.1,52.95,2.94
&sbinfo->stat_lock:,0,0,0,0,0,0,4,5,0.31,0.79,2.63,0.53
list_lrus_mutex:,0,0,0,0,0,0,6,18,0.17,0.69,6.22,0.35
input_pool.lock:,0,0,0,0,0,0,200,3189,0.17,13.37,2078.24,0.65
console_lock:,0,0,0,0,0,0,0,146,1.09,6.25,487.97,3.34
memcg_cache_ids_sem-R:,0,0,0,0,0,0,6,18,79.64,176.63,2142.52,119.03
unnamed_dev_ida.xa_lock:,0,0,0,0,0,0,6,9,1.11,10.84,22.36,2.48
&sb->s_type->i_lock_key:,0,0,0,0,0,0,1194,12088,0.07,67.37,4489.23,0.37
mount_lock:,0,0,0,0,0,0,6,9,0.91,12.26,21.37,2.37
ucounts_lock:,0,0,0,0,0,0,7,50,0.14,1.68,33.56,0.67
&new_ns->poll:,0,0,0,0,0,0,0,4,0.16,0.89,2.17,0.54
init_fs.seq.seqcount-R:,0,0,0,0,0,0,0,4,0.11,0.71,1.48,0.37
&sb->s_type->i_lock_key#3:,0,0,0,0,0,0,44,66,0.13,1.03,15.63,0.24
proc_subdir_lock-W:,0,0,0,0,0,0,0,486,0.14,13.57,175.16,0.36
proc_subdir_lock-R:,0,0,0,0,0,0,24,524,0.14,36.01,310.08,0.59
pernet_ops_rwsem-R:,0,0,0,0,0,0,6,9,3681.99,9486.44,55789.59,6198.84
&sb->s_type->i_lock_key#4:,0,0,0,0,0,0,0,273,0.07,1.21,65.16,0.24
cgroup_file_kn_lock:,0,0,0,0,0,0,1,4,0.16,9.24,10.19,2.55
&cpuset_rwsem-R:,0,0,0,0,0,0,0,23,1.11,7.74,74.76,3.25
&wq->mutex:,0,0,0,0,0,0,1,2,1.14,2.3,3.44,1.72
sb_lock:,0,0,0,0,0,0,6,18,1.49,14.9,77.17,4.29
file_systems_lock-R:,0,0,0,0,0,0,5,10,10.38,17.03,130.05,13.01
kernfs_mutex:,0,0,0,0,0,0,215,25066,0.12,38.33,4781.56,0.19
kernfs_idr_lock:,0,0,0,0,0,0,7,803,0.17,13.71,271.92,0.34
aa_buffers_lock:,0,0,0,0,0,0,10,30,0.15,1.34,15.82,0.53
lock#2:,0,0,0,0,0,0,0,7708,0.33,51.89,18425.33,2.39
rcu_read_lock-R:,0,0,0,0,0,0,0,23695108,0.06,11478.11,7635729.78,0.32
sysctl_lock:,0,0,0,0,0,0,7,1288,0.11,61.51,1705.45,1.32
percpu_counters_lock:,0,0,0,0,0,0,6,27,0.13,1.44,15.86,0.59
(wq_completion)events:,0,0,0,0,0,0,0,7860,0.72,783.41,110115.41,14.01
&crng->lock:,0,0,0,0,0,0,430,4298,0.09,29.08,3668.24,0.85
&x->wait#2:,0,0,0,0,0,0,0,12,0.44,22.18,53.83,4.49
&tsk->futex_exit_mutex:,0,0,0,0,0,0,107,128,0.68,25.48,246.95,1.93
rcu_state.ofl_lock:,0,0,0,0,0,0,716,23176,0.29,180,10780.46,0.47
&stop_pi_lock:,0,0,0,0,0,0,0,79,2.47,15.38,315.51,3.99
&stopper->lock:,0,0,0,0,0,0,0,395,0.09,40.96,150.22,0.38
&x->wait#4:,0,0,0,0,0,0,0,156,0.14,3.37,64.18,0.41
(&timer.timer):,0,0,0,0,0,0,0,8991,0.06,42.96,23929.68,2.66
rcu_callback-R:,0,0,0,0,0,0,0,37654,0.19,110.31,72153.66,1.92
&rt_b->rt_runtime_lock:,0,0,0,0,0,0,9,2179,0.3,31.56,1746.46,0.8
&rt_rq->rt_runtime_lock:,0,0,0,0,0,0,28,2522,0.11,1.91,1314.6,0.52
reservation_ww_class_mutex:,0,0,0,0,0,0,10979,30427,0.31,1352.42,510800.61,16.79
dma_fence_map:,0,0,0,0,0,0,0,1354,0.16,17.88,899.53,0.66
&x->wait#7:,0,0,0,0,0,0,1,2,0.36,0.56,0.92,0.46
namespace_sem-R:,0,0,0,0,0,0,119,1444,0.33,549.49,38128.92,26.41
&____s->seqcount#2-W:,0,0,0,0,0,0,0,18,0.1,0.74,4.24,0.24
&____s->seqcount#2-R:,0,0,0,0,0,0,0,42402,0.06,24.04,5757.74,0.14
rename_lock:,0,0,0,0,0,0,33,49,2.48,9.49,286.25,5.84
rename_lock.seqcount-W:,0,0,0,0,0,0,0,49,2.26,8.65,259.2,5.29
rename_lock.seqcount-R:,0,0,0,0,0,0,0,32614,0.06,170.93,3744.88,0.11
&____s->seqcount#3-W:,0,0,0,0,0,0,0,49,0.6,2.21,59.61,1.22
&____s->seqcount#3-R:,0,0,0,0,0,0,0,12847,0.06,17.36,2041.97,0.16
&fs->lock:,0,0,0,0,0,0,397,1316,0.13,14.29,846.41,0.64
&x->wait#8:,0,0,0,0,0,0,0,9,0.27,0.81,4.28,0.48
&k->list_lock:,0,0,0,0,0,0,12,36,0.19,2.02,23.68,0.66
bus_type_sem-R:,0,0,0,0,0,0,6,9,1.02,1.62,10.92,1.21
&dev->power.lock:,0,0,0,0,0,0,0,2466,0.15,10.88,1184.86,0.48
dpm_list_mtx:,0,0,0,0,0,0,6,9,0.33,12.14,15.78,1.75
uevent_sock_mutex:,0,0,0,0,0,0,6,27,2.32,31,262.72,9.73
sysfs_symlink_target_lock:,0,0,0,0,0,0,6,18,0.14,0.53,5.58,0.31
&k->k_lock:,0,0,0,0,0,0,8,189,0.12,0.98,45.68,0.24
(wq_completion)events_power_efficient:,0,0,0,0,0,0,0,9,3.69,41.27,82,9.11
net_rwsem-W:,0,0,0,0,0,0,0,9,0.23,11.46,14,1.56
net_rwsem-R:,0,0,0,0,0,0,6,18,0.81,16.84,75.42,4.19
rtnl_mutex:,0,0,0,0,0,0,263,1302,0.13,803.34,23473.19,18.03
&wq#2:,0,0,0,0,0,0,0,178,0.18,1.2,79.29,0.45
krc.lock:,0,0,0,0,0,0,0,24830,0.1,76.71,15995.2,0.64
&x->wait#9:,0,0,0,0,0,0,0,2,0.32,0.67,0.99,0.5
binfmt_lock-R:,0,0,0,0,0,0,10,51,0.13,1.33,26.86,0.53
mmu_notifier_invalidate_range_start:,0,0,0,0,0,0,0,2318727,0.06,277.42,258809.25,0.11
fs_reclaim:,0,0,0,0,0,0,0,2038906,0.18,277.8,604791.66,0.3
&p->alloc_lock:,0,0,0,0,0,0,1031,19320,0.11,210.43,6131.01,0.32
memtype_lock:,0,0,0,0,0,0,2,111,0.13,1.23,17.55,0.16
"&per_cpu_ptr(group->pcpu, cpu)->seq-W:",0,0,0,0,0,0,0,2861330,0.07,333.1,433766.55,0.15
"&per_cpu_ptr(group->pcpu, cpu)->seq-R:",0,0,0,0,0,0,0,116096,0.06,30.92,33154.73,0.29
tasklist_lock-W:,0,0,0,0,0,0,363,673,0.21,30.78,1611.63,2.39
tasklist_lock-R:,0,0,0,0,0,0,341,726,0.18,31.88,1108.33,1.53
cgroup_threadgroup_rwsem-W:,0,0,0,0,0,0,0,2,26.23,88.17,114.4,57.2
cgroup_threadgroup_rwsem-R:,0,0,0,0,0,0,0,557,0.29,43.57,4555.53,8.18
pidmap_lock:,0,0,0,0,0,0,283,1003,0.15,3.7,914,0.91
nl_table_wait.lock:,0,0,0,0,0,0,262,1412,0.11,12.87,499.74,0.35
nl_table_lock-W:,0,0,0,0,0,0,7,372,0.19,28.77,243.77,0.66
nl_table_lock-R:,0,0,0,0,0,0,255,1040,0.12,13.07,405.08,0.39
k-slock-AF_NETLINK:,0,0,0,0,0,0,0,108,0.08,0.61,18.55,0.17
k-sk_lock-AF_NETLINK:,0,0,0,0,0,0,0,54,1.1,409.82,614.46,11.38
rhashtable_bucket:,0,0,0,0,0,0,0,743,0.1,17.93,368.99,0.5
&pgdat->kcompactd_wait:,0,0,0,0,0,0,17,318,0.1,1.46,85.06,0.27
&child->perf_event_mutex:,0,0,0,0,0,0,98,113,0.14,0.97,38.5,0.34
&pid->wait_pidfd:,0,0,0,0,0,0,14,14,0.35,0.65,6.57,0.47
&sig->wait_chldexit:,0,0,0,0,0,0,26,137,0.11,24.81,124.19,0.91
&(&sig->stats_lock)->lock:,0,0,0,0,0,0,93,118,0.77,5.82,353.08,2.99
&____s->seqcount#4-W:,0,0,0,0,0,0,0,118,0.25,4.65,270.33,2.29
&____s->seqcount#4-R:,0,0,0,0,0,0,0,6218,0.06,19.55,1243.19,0.2
(work_completion)(&p->wq):,0,0,0,0,0,0,0,30,4.46,90.61,368.17,12.27
major_names_lock:,0,0,0,0,0,0,2,1024,0.13,51.89,209.05,0.2
raw_v6_hashinfo.lock:,0,0,0,0,0,0,6,2376,0.12,15.48,543.18,0.23
mm/vmstat.c:1970:,0,0,0,0,0,0,0,53,1.46,11.3,207.01,3.91
(shepherd).work:,0,0,0,0,0,0,0,53,2.53,102.07,1578.43,29.78
(wq_completion)mm_percpu_wq:,0,0,0,0,0,0,0,353,1.27,14.87,1315.56,3.73
(work_completion)(&(({ do { const voi:,0,0,0,0,0,0,0,353,0.93,6.04,1047.67,2.97
&sb->s_type->i_mutex_key#9-R:,0,0,0,0,0,0,105,506,0.77,757.98,44386.31,87.72
&sb->s_type->i_lock_key#1:,0,0,0,0,0,0,2,18,0.11,1.2,7.87,0.44
sb_writers#4-R:,0,0,0,0,0,0,0,75,1.21,15977.74,16585.61,221.14
reservation_ww_class_acquire:,0,0,0,0,0,0,0,9479,6.53,1469.53,564769.32,59.58
sb_writers#5-R:,0,0,0,0,0,0,0,1950,0.49,17995.69,1570755.36,805.52
&mapping->i_mmap_rwsem-W:,0,0,0,0,0,0,13929,58934,0.12,80.02,33285.07,0.56
&mapping->i_mmap_rwsem-R:,0,0,0,0,0,0,2,143,0.65,29.29,203.03,1.42
sb_writers#6-R:,0,0,0,0,0,0,0,44,0.88,3.93,55.98,1.27
delayed_uprobe_lock:,0,0,0,0,0,0,24,34,0.14,1.07,16.97,0.5
&mm->arg_lock:,0,0,0,0,0,0,34,51,0.11,1.18,26.38,0.52
subsys mutex#1:,0,0,0,0,0,0,6,9,1.3,2.19,14.63,1.63
dev_hotplug_mutex:,0,0,0,0,0,0,6,9,0.6,15.03,21.89,2.43
dev_base_lock:,0,0,0,0,0,0,6,9,0.43,11.53,15.73,1.75
&list->lock#2:,0,0,0,0,0,0,32,108,0.13,0.72,29.39,0.27
&nlk->wait:,0,0,0,0,0,0,1,1286,0.12,9.27,371.45,0.29
&trig->leddev_list_lock-R:,0,0,0,0,0,0,0,78,0.15,1.3,34.16,0.44
&sb->s_type->i_lock_key#1:,0,0,0,0,0,0,8,202,0.08,1.75,97.05,0.48
&sb->s_type->i_lock_key#1:,0,0,0,0,0,0,35,121,0.07,2.74,112.84,0.93
&tbl->lock:,0,0,0,0,0,0,20,26,0.21,3.59,31.38,1.21
&net->rules_mod_lock:,0,0,0,0,0,0,0,36,0.2,1.19,15.51,0.43
&hctx->lock:,0,0,0,0,0,0,19,52,0.26,0.8,21.41,0.41
(check_lifetime_work).work:,0,0,0,0,0,0,0,1,40.36,40.36,40.36,40.36
raw_v4_hashinfo.lock:,0,0,0,0,0,0,6,4608,0.12,28.96,1152.48,0.25
&(&krcp->monitor_work)->timer:,0,0,0,0,0,0,0,2467,1.18,40.72,20044.5,8.13
(work_completion)(&(&krcp->monitor_wo:,0,0,0,0,0,0,0,2467,0.8,78.02,4336.97,1.76
(wq_completion)events_freezable_power:,0,0,0,0,0,0,0,26,96.14,201.84,3888.92,149.57
lock#5:,0,0,0,0,0,0,0,1701191,0.07,302.83,723664.9,0.43
(work_completion)(&(&krcp->krw_arr[i]:,0,0,0,0,0,0,0,2373,1.53,122.56,13739.57,5.79
key:,0,0,0,0,0,0,48,80,0.14,1.12,43.38,0.54
&(({ do { const void *__vpp_verify = :,0,0,0,0,0,0,0,253,1.07,52.12,1513.38,5.98
&(&group->avgs_work)->timer:,0,0,0,0,0,0,0,908,0.75,27.17,6147.98,6.77
